"depth_from";"depth_to";"geol_code100";"hole_id"
20.00;30.00;"TZ";"201"
30.00;31.00;"BC";"201"
31.00;42.50;"IZ";"201"
16.00;27.00;"TZ";"677_2"
27.00;30.00;"BC";"677_2"
30.00;39.00;"IZ";"677_2"
25.00;27.00;"TZ";"877_3"
27.00;28.00;"BC";"877_3"
28.00;38.00;"IZ";"877_3"
18.00;31.00;"TZ";"877_4"
31.00;33.00;"BC";"877_4"
33.00;43.00;"IZ";"877_4"
16.00;29.00;"TZ";"977_6"
29.00;30.00;"BC";"977_6"
30.00;45.00;"IZ";"977_6"
15.00;27.50;"TZ";"B34"
27.50;29.50;"BC";"B34"
29.50;43.50;"IZ";"B34"
15.00;28.50;"TZ";"B35"
28.50;29.10;"BC";"B35"
29.10;37.10;"IZ";"B35"
18.00;25.00;"TZ";"B83"
25.00;25.50;"BC";"B83"
25.50;46.50;"IZ";"B83"
21.00;30.00;"TZ";"B85"
30.00;33.00;"BC";"B85"
33.00;40.00;"IZ";"B85"
14.00;22.00;"TZ";"B86"
22.00;23.00;"BC";"B86"
23.00;40.00;"IZ";"B86"
15.00;16.00;"BC";"B92_1"
16.00;31.00;"IZ";"B92_1"
3.00;16.00;"TZ";"B92_2"
16.00;17.00;"BC";"B92_2"
17.00;29.00;"IZ";"B92_2"
0.00;6.00;"TZ";"B92_3"
6.00;24.00;"IZ";"B92_3"
24.00;30.00;"GZ";"B92_3"
11.00;12.00;"BC";"B92_4"
12.00;25.00;"IZ";"B92_4"
11.10;18.10;"IZ";"B94_6_B1"
2.00;15.00;"TZ";"BL92_1"
15.00;29.00;"IZ";"BL92_1"
0.00;9.00;"TZ";"BRG_00_01"
9.00;11.00;"BC";"BRG_00_01"
11.00;19.00;"IZ";"BRG_00_01"
0.00;8.00;"TZ";"BRG_00_02"
8.00;11.00;"BC";"BRG_00_02"
11.00;21.00;"IZ";"BRG_00_02"
0.00;6.00;"TZ";"BRG_01_01"
6.00;8.00;"TZ";"BRG_01_01"
8.00;10.00;"TZ";"BRG_01_01"
10.00;11.00;"BC";"BRG_01_01"
11.00;15.00;"IZ";"BRG_01_01"
15.00;17.00;"IZ";"BRG_01_01"
17.00;19.00;"IZ";"BRG_01_01"
19.00;20.00;"IZ";"BRG_01_01"
20.00;21.00;"IZ";"BRG_01_01"
21.00;23.00;"IZ";"BRG_01_01"
23.00;28.00;"GZ";"BRG_01_01"
28.00;30.00;"GZ";"BRG_01_01"
0.00;4.00;"TZ";"BRG_01_02"
4.00;6.00;"TZ";"BRG_01_02"
6.00;7.00;"TZ";"BRG_01_02"
7.00;9.00;"TZ";"BRG_01_02"
9.00;11.00;"TZ";"BRG_01_02"
11.00;12.00;"BC";"BRG_01_02"
12.00;13.00;"IZ";"BRG_01_02"
13.00;15.00;"IZ";"BRG_01_02"
15.00;17.00;"IZ";"BRG_01_02"
17.00;19.00;"IZ";"BRG_01_02"
19.00;21.00;"IZ";"BRG_01_02"
21.00;22.00;"IZ";"BRG_01_02"
22.00;24.00;"IZ";"BRG_01_02"
24.00;28.00;"GZ";"BRG_01_02"
2.00;4.00;"TZ";"BRG_01_03"
4.00;5.00;"TZ";"BRG_01_03"
5.00;8.00;"TZ";"BRG_01_03"
8.00;9.00;"TZ";"BRG_01_03"
9.00;11.00;"TZ";"BRG_01_03"
11.00;12.00;"TZ";"BRG_01_03"
12.00;16.00;"IZ";"BRG_01_03"
16.00;20.00;"IZ";"BRG_01_03"
20.00;21.00;"IZ";"BRG_01_03"
21.00;23.00;"IZ";"BRG_01_03"
23.00;28.00;"IZ";"BRG_01_03"
28.00;32.00;"GZ";"BRG_01_03"
0.00;3.00;"TZ";"BRG_01_04"
3.00;6.00;"TZ";"BRG_01_04"
6.00;10.00;"TZ";"BRG_01_04"
10.00;12.00;"TZ";"BRG_01_04"
12.00;13.00;"IZ";"BRG_01_04"
13.00;15.00;"IZ";"BRG_01_04"
15.00;17.00;"IZ";"BRG_01_04"
17.00;19.00;"IZ";"BRG_01_04"
19.00;22.00;"IZ";"BRG_01_04"
22.00;23.00;"IZ";"BRG_01_04"
23.00;26.00;"IZ";"BRG_01_04"
26.00;30.00;"IZ";"BRG_01_04"
30.00;33.00;"GZ";"BRG_01_04"
0.00;3.00;"TZ";"BRG_01_05"
3.00;6.00;"TZ";"BRG_01_05"
6.00;8.00;"TZ";"BRG_01_05"
8.00;9.00;"IZ";"BRG_01_05"
9.00;12.00;"IZ";"BRG_01_05"
12.00;14.00;"IZ";"BRG_01_05"
14.00;16.00;"IZ";"BRG_01_05"
16.00;18.00;"IZ";"BRG_01_05"
18.00;20.00;"IZ";"BRG_01_05"
20.00;23.00;"IZ";"BRG_01_05"
23.00;25.00;"IZ";"BRG_01_05"
25.00;28.00;"GZ";"BRG_01_05"
28.00;30.00;"GZ";"BRG_01_05"
1.00;2.00;"TZ";"BRG_01_06"
2.00;6.00;"TZ";"BRG_01_06"
6.00;8.00;"TZ";"BRG_01_06"
8.00;10.00;"TZ";"BRG_01_06"
10.00;11.00;"IZ";"BRG_01_06"
11.00;14.00;"IZ";"BRG_01_06"
14.00;17.00;"IZ";"BRG_01_06"
17.00;20.00;"IZ";"BRG_01_06"
20.00;22.00;"IZ";"BRG_01_06"
22.00;24.00;"IZ";"BRG_01_06"
24.00;26.00;"IZ";"BRG_01_06"
26.00;28.00;"IZ";"BRG_01_06"
28.00;30.00;"IZ";"BRG_01_06"
6.00;9.00;"TZ";"BRG_01_07"
9.00;11.00;"IZ";"BRG_01_07"
11.00;12.00;"IZ";"BRG_01_07"
12.00;15.00;"IZ";"BRG_01_07"
15.00;18.00;"IZ";"BRG_01_07"
18.00;19.00;"IZ";"BRG_01_07"
19.00;22.00;"IZ";"BRG_01_07"
22.00;25.00;"IZ";"BRG_01_07"
25.00;29.00;"IZ";"BRG_01_07"
29.00;31.00;"GZ";"BRG_01_07"
0.00;1.00;"TZ";"BRG_01_08"
1.00;2.00;"IZ";"BRG_01_08"
2.00;8.00;"IZ";"BRG_01_08"
8.00;10.00;"IZ";"BRG_01_08"
10.00;11.00;"IZ";"BRG_01_08"
11.00;14.00;"IZ";"BRG_01_08"
14.00;15.00;"IZ";"BRG_01_08"
15.00;18.00;"IZ";"BRG_01_08"
18.00;20.00;"IZ";"BRG_01_08"
20.00;21.00;"IZ";"BRG_01_08"
2.00;3.00;"TZ";"BRG_01_09"
3.00;8.00;"TZ";"BRG_01_09"
8.00;10.00;"BC";"BRG_01_09"
10.00;15.00;"IZ";"BRG_01_09"
15.00;16.00;"IZ";"BRG_01_09"
16.00;18.00;"IZ";"BRG_01_09"
18.00;21.00;"IZ";"BRG_01_09"
21.00;23.00;"IZ";"BRG_01_09"
23.00;24.00;"IZ";"BRG_01_09"
24.00;27.00;"IZ";"BRG_01_09"
0.00;6.00;"TZ";"BRG_05_01"
6.00;25.00;"IZ";"BRG_05_01"
25.00;36.00;"GZ";"BRG_05_01"
2.00;9.00;"TZ";"BRG_05_02"
9.00;31.00;"IZ";"BRG_05_02"
31.00;37.00;"GZ";"BRG_05_02"
2.00;8.00;"TZ";"BRG_05_03"
8.00;13.00;"BC";"BRG_05_03"
13.00;28.00;"IZ";"BRG_05_03"
28.00;35.00;"GZ";"BRG_05_03"
0.00;9.00;"TZ";"BRG_05_04"
9.00;14.00;"BC";"BRG_05_04"
14.00;27.00;"IZ";"BRG_05_04"
27.00;35.00;"GZ";"BRG_05_04"
5.00;14.00;"TZ";"BRG_05_05"
14.00;34.00;"IZ";"BRG_05_05"
34.00;42.00;"GZ";"BRG_05_05"
0.00;12.00;"IZ";"BRG_05_06"
12.00;25.00;"GZ";"BRG_05_06"
0.00;15.00;"IZ";"BRG_05_07"
15.00;25.00;"GZ";"BRG_05_07"
2.00;22.00;"GZ";"BRG_05_08"
19.00;29.00;"TZ";"BRG_05_09"
29.00;30.00;"BC";"BRG_05_09"
30.00;39.00;"IZ";"BRG_05_09"
39.00;50.00;"GZ";"BRG_05_09"
19.00;29.00;"TZ";"BRG_05_10"
29.00;41.00;"IZ";"BRG_05_10"
41.00;50.00;"GZ";"BRG_05_10"
16.00;29.00;"TZ";"BRG_05_11"
29.00;33.00;"BC";"BRG_05_11"
33.00;41.00;"IZ";"BRG_05_11"
41.00;62.00;"GZ";"BRG_05_11"
7.00;14.00;"TZ";"BRG_05_12"
14.00;27.00;"IZ";"BRG_05_12"
27.00;39.00;"GZ";"BRG_05_12"
4.00;14.00;"TZ";"BRG_05_13"
14.00;33.00;"IZ";"BRG_05_13"
33.00;40.00;"GZ";"BRG_05_13"
6.00;11.00;"TZ";"BRG_05_14"
11.00;29.00;"IZ";"BRG_05_14"
29.00;37.00;"GZ";"BRG_05_14"
2.00;13.00;"TZ";"BRG_05_15"
13.00;14.00;"BC";"BRG_05_15"
14.00;23.00;"IZ";"BRG_05_15"
23.00;38.00;"GZ";"BRG_05_15"
2.00;16.00;"TZ";"BRG_08_01"
16.00;18.00;"BC";"BRG_08_01"
18.00;26.00;"IZ";"BRG_08_01"
26.00;29.00;"GZ";"BRG_08_01"
0.00;21.00;"IZ";"BRG_13_01"
0.00;21.00;"IZ";"BRG_13_02"
0.00;2.00;"OVB";"BRG_16_01"
2.00;9.00;"GR";"BRG_16_01"
9.00;18.00;"TZ";"BRG_16_01"
18.00;41.00;"IZ";"BRG_16_01"
41.00;50.00;"GZ";"BRG_16_01"
0.00;11.00;"GR";"BRG_16_02"
11.00;30.00;"TZ";"BRG_16_02"
30.00;33.00;"IZ";"BRG_16_02"
33.00;50.00;"GZ";"BRG_16_02"
0.00;20.00;"GR";"BRG_16_03"
20.00;26.00;"TZ";"BRG_16_03"
26.00;41.00;"IZ";"BRG_16_03"
41.00;50.00;"GZ";"BRG_16_03"
0.00;20.00;"GR";"BRG_16_04A"
20.00;27.00;"TZ";"BRG_16_04A"
27.00;30.00;"IZ";"BRG_16_04A"
0.00;5.00;"TZ";"BRG_16_04B"
5.00;28.00;"IZ";"BRG_16_04B"
28.00;30.00;"GZ";"BRG_16_04B"
0.00;3.00;"OVB";"BRG_16_05"
3.00;21.00;"GR";"BRG_16_05"
21.00;29.00;"TZ";"BRG_16_05"
29.00;41.00;"IZ";"BRG_16_05"
41.00;50.00;"GZ";"BRG_16_05"
0.00;5.00;"TZ";"BRG_16_06"
5.00;7.00;"BC";"BRG_16_06"
7.00;16.00;"IZ";"BRG_16_06"
16.00;17.00;"GZ";"BRG_16_06"
0.00;4.00;"TZ";"BRG_16_07"
4.00;17.00;"IZ";"BRG_16_07"
0.00;18.00;"IZ";"BRG_16_08"
0.00;8.00;"TZ";"BRG_16_09"
8.00;11.00;"BC";"BRG_16_09"
11.00;18.00;"IZ";"BRG_16_09"
16.00;29.00;"TZ";"BRG_93_1"
29.00;29.50;"BC";"BRG_93_1"
29.50;42.00;"IZ";"BRG_93_1"
23.00;28.00;"TZ";"BRG_93_2"
28.00;30.00;"BC";"BRG_93_2"
30.00;39.00;"IZ";"BRG_93_2"
13.00;25.00;"TZ";"BRG_93_3"
19.00;28.00;"TZ";"BRG_93_4"
28.00;29.00;"BC";"BRG_93_4"
29.00;46.00;"IZ";"BRG_93_4"
17.00;27.00;"TZ";"BRG_93_4A"
27.00;28.00;"BC";"BRG_93_4A"
28.00;43.00;"IZ";"BRG_93_4A"
18.00;31.00;"TZ";"BRG_93_6"
31.00;35.00;"BC";"BRG_93_6"
35.00;45.00;"IZ";"BRG_93_6"
17.00;26.50;"TZ";"BRG_93_7"
26.50;27.00;"BC";"BRG_93_7"
27.00;38.00;"IZ";"BRG_93_7"
19.00;29.00;"TZ";"BRG_93_8"
29.00;30.00;"BC";"BRG_93_8"
30.00;43.00;"IZ";"BRG_93_8"
14.00;20.00;"TZ";"BRG_96_02"
20.00;21.00;"BC";"BRG_96_02"
21.00;26.00;"IZ";"BRG_96_02"
26.00;35.00;"GZ";"BRG_96_02"
13.00;19.00;"TZ";"BRG_96_03"
19.00;23.00;"BC";"BRG_96_03"
23.00;29.00;"IZ";"BRG_96_03"
29.00;35.00;"GZ";"BRG_96_03"
18.00;27.00;"TZ";"BRG_96_04"
27.00;32.00;"BC";"BRG_96_04"
32.00;45.00;"IZ";"BRG_96_04"
21.00;34.00;"TZ";"BRG_96_05"
34.00;43.00;"IZ";"BRG_96_05"
3.00;11.00;"TZ";"BRG_96_06"
11.00;13.00;"BC";"BRG_96_06"
13.00;21.00;"IZ";"BRG_96_06"
21.00;25.00;"GZ";"BRG_96_06"
16.00;27.00;"TZ";"BRG_96_E04"
27.00;35.00;"BC";"BRG_96_E04"
35.00;45.00;"IZ";"BRG_96_E04"
15.00;29.00;"TZ";"BRG_96_E05"
29.00;35.00;"BC";"BRG_96_E05"
35.00;45.00;"IZ";"BRG_96_E05"
4.00;20.00;"TZ";"BRG_97_01"
20.00;31.00;"IZ";"BRG_97_01"
31.00;35.00;"GZ";"BRG_97_01"
1.00;17.00;"TZ";"BRG_97_02"
17.00;29.00;"IZ";"BRG_97_02"
3.00;13.00;"TZ";"BRG_97_03"
13.00;29.00;"IZ";"BRG_97_03"
2.00;17.00;"TZ";"BRG_97_04"
17.00;29.00;"IZ";"BRG_97_04"
0.00;7.00;"TZ";"BRG_97_05"
7.00;25.00;"IZ";"BRG_97_05"
15.00;23.00;"TZ";"ECO_09_01"
23.00;26.00;"BC";"ECO_09_01"
26.00;36.00;"IZ";"ECO_09_01"
36.00;38.00;"GZ";"ECO_09_01"
15.00;22.00;"TZ";"ECO_09_02"
22.00;24.00;"BC";"ECO_09_02"
24.00;34.00;"IZ";"ECO_09_02"
34.00;35.00;"GZ";"ECO_09_02"
15.00;25.00;"TZ";"ECO_09_03"
25.00;35.00;"IZ";"ECO_09_03"
15.00;22.00;"TZ";"ECO_09_04"
22.00;25.00;"BC";"ECO_09_04"
25.00;32.00;"IZ";"ECO_09_04"
32.00;35.00;"GZ";"ECO_09_04"
15.00;18.00;"TZ";"ECO_09_05"
18.00;38.00;"IZ";"ECO_09_05"
38.00;43.00;"GZ";"ECO_09_05"
