"hole_id";"depth";"x";"y";"z";"azimuth";"dip"
"201";;238758.85;185215.33;91.50;0.00;-90.00
"677_2";;238919.26;185520.55;88.98;0.00;-90.00
"877_3";48.00;238740.94;185498.74;89.83;0.00;-90.00
"877_4";;238657.28;185260.13;91.26;0.00;-90.00
"977_6";;238952.20;185395.71;91.26;0.00;-90.00
"B11_90_1";30.00;239041.79;185456.66;69.50;0.00;-90.00
"B11_90_2";;238966.68;185479.96;71.80;0.00;-90.00
"B11_90_3";20.00;238922.92;185494.88;53.50;0.00;-90.00
"B11_90_4";25.00;239084.63;185430.12;65.40;0.00;-90.00
"B34";;238571.51;184716.51;91.50;0.00;-90.00
"B35";;238707.56;184328.62;91.60;0.00;-90.00
"B83";;238491.68;184541.87;91.50;0.00;-90.00
"B85";;238736.64;184548.59;90.50;0.00;-90.00
"B86";;238305.36;184471.04;85.00;0.00;-90.00
"B92_1";;238835.98;185006.43;76.72;0.00;-90.00
"B92_2";;238755.78;185105.20;76.07;0.00;-90.00
"B92_3";;238911.76;185025.48;65.68;0.00;-90.00
"B92_4";;238913.82;185162.28;76.70;0.00;-90.00
"B94_6_B1";;238947.87;185549.46;72.34;0.00;-90.00
"BL92_1";;238755.06;184932.83;75.97;0.00;-90.00
"BRG_00_01";28.00;238685.48;185170.73;71.76;0.00;-90.00
"BRG_00_02";27.00;238663.90;185120.96;72.08;0.00;-90.00
"BRG_01_01";30.00;238653.56;184974.70;72.51;0.00;-90.00
"BRG_01_02";28.00;238607.13;184883.86;74.46;0.00;-90.00
"BRG_01_03";32.00;238549.17;184791.83;76.47;0.00;-90.00
"BRG_01_04";33.00;238586.19;184702.83;77.46;0.00;-90.00
"BRG_01_05";30.00;238562.73;184634.57;75.31;0.00;-90.00
"BRG_01_06";30.00;238657.47;184679.09;74.61;0.00;-90.00
"BRG_01_07";31.00;238631.04;184601.80;75.67;0.00;-90.00
"BRG_01_08";21.00;238744.95;184650.74;66.39;0.00;-90.00
"BRG_01_09";27.00;238708.94;184568.92;72.16;0.00;-90.00
"BRG_05_01";36.00;238438.00;184619.00;73.00;0.00;-90.00
"BRG_05_02";37.00;238496.00;184483.00;75.00;0.00;-90.00
"BRG_05_03";35.00;238618.00;184485.00;72.00;0.00;-90.00
"BRG_05_04";35.00;238685.00;184445.00;72.00;0.00;-90.00
"BRG_05_05";47.00;238905.00;184876.00;79.00;0.00;-90.00
"BRG_05_06";25.00;239671.00;185759.00;61.00;0.00;-90.00
"BRG_05_07";25.00;239896.00;185648.00;60.00;0.00;-90.00
"BRG_05_08";22.00;240133.00;185700.00;60.00;0.00;-90.00
"BRG_05_09";62.00;238483.00;184897.00;92.00;0.00;-90.00
"BRG_05_10";58.00;238384.00;185036.00;92.00;0.00;-90.00
"BRG_05_11";62.00;238459.00;185206.00;92.00;0.00;-90.00
"BRG_05_12";48.00;238647.00;185051.00;76.00;0.00;-90.00
"BRG_05_13";47.00;238922.00;184737.00;78.00;0.00;-90.00
"BRG_05_14";42.00;238355.00;184486.00;75.00;0.00;-90.00
"BRG_05_15";38.00;238628.00;184424.00;74.00;0.00;-90.00
"BRG_08_01";29.00;;;0.00;0.00;-90.00
"BRG_11_01";15.00;239534.00;185635.00;54.00;0.00;-90.00
"BRG_11_02";17.00;239600.00;185500.00;53.00;0.00;-90.00
"BRG_11_03";14.00;239700.00;185600.00;52.00;0.00;-90.00
"BRG_11_04";20.00;239631.00;185739.00;60.00;0.00;-90.00
"BRG_11_05";20.00;239703.00;185728.00;60.00;0.00;-90.00
"BRG_11_06";20.00;239868.00;185750.00;60.00;0.00;-90.00
"BRG_11_07";20.00;239871.00;185613.00;60.00;0.00;-90.00
"BRG_11_08";20.00;240029.00;185653.00;59.00;0.00;-90.00
"BRG_13_01";28.00;238982.00;184829.00;66.47;0.00;-90.00
"BRG_13_02";28.00;238818.00;184683.00;65.01;0.00;-90.00
"BRG_16_01";50.00;238052.44;184548.12;89.67;0.00;-90.00
"BRG_16_02";50.00;238127.60;184624.40;86.66;0.00;-90.00
"BRG_16_03";50.00;238129.20;184799.10;91.52;0.00;-90.00
"BRG_16_04A";30.00;238271.00;184720.20;91.78;0.00;-90.00
"BRG_16_04B";30.00;238303.23;184613.03;73.29;0.00;-90.00
"BRG_16_05";50.00;238186.50;184893.10;92.17;0.00;-90.00
"BRG_16_06";18.00;238441.52;185151.02;65.91;0.00;-90.00
"BRG_16_07";18.00;238442.88;185049.99;66.30;0.00;-90.00
"BRG_16_08";18.00;238446.26;184952.10;65.60;0.00;-90.00
"BRG_16_09";18.00;238420.78;184835.36;68.90;0.00;-90.00
"BRG_93_1";42.00;238509.25;184984.41;91.12;0.00;-90.00
"BRG_93_2";39.00;238375.78;184776.61;91.12;0.00;-90.00
"BRG_93_3";25.00;238859.33;184540.38;85.39;0.00;-90.00
"BRG_93_4";46.00;238963.03;184786.45;91.79;0.00;-90.00
"BRG_93_4A";43.00;239029.83;184757.00;91.55;0.00;-90.00
"BRG_93_6";45.00;238975.03;184622.69;90.97;0.00;-90.00
"BRG_93_7";38.00;238851.83;184680.31;89.51;0.00;-90.00
"BRG_93_8";43.00;238251.21;185098.23;91.00;0.00;-90.00
"BRG_96_02";44.00;238844.09;185487.82;79.22;0.00;-90.00
"BRG_96_03";35.00;238804.17;185357.91;79.91;0.00;-90.00
"BRG_96_04";45.00;238651.31;185433.91;91.03;0.00;-90.00
"BRG_96_05";45.00;238553.96;185228.23;92.46;0.00;-90.00
"BRG_96_06";25.00;238884.51;185543.34;74.63;0.00;-90.00
"BRG_96_BE04";45.00;238450.74;185362.97;92.06;0.00;-90.00
"BRG_96_BE05";47.00;238364.26;185164.32;89.86;0.00;-90.00
"BRG_97_01";37.00;238666.25;185355.96;81.81;0.00;-90.00
"BRG_97_02";29.00;238751.27;185305.78;78.04;0.00;-90.00
"BRG_97_03";29.00;238846.50;185272.11;74.96;0.00;-90.00
"BRG_97_04";29.00;238804.57;185182.54;78.00;0.00;-90.00
"BRG_97_05";25.00;238656.09;184745.95;71.30;0.00;-90.00
"ECO_09_01";51.00;238312.00;183958.00;91.00;0.00;-90.00
"ECO_09_02";35.00;238160.00;184144.00;88.00;0.00;-90.00
"ECO_09_03";35.00;238320.00;184115.00;90.00;0.00;-90.00
"ECO_09_04";35.00;238479.00;184090.00;88.00;0.00;-90.00
"ECO_09_05";52.00;238192.00;184362.00;90.00;0.00;-90.00
