"code";"field_name";"from_value";"graphics_colour";"graphics_pattern";"line_colour";"line_style";"line_weight";"marker_size";"marker_style";"plotting_colour";"plotting_pattern";"style_type";"table_name";"to_value"
"clay";"litho";"";"r=0.8 g=0.0 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=0.0 b=0.4";"solid";"C";"geology";""
"gravel";"litho";"";"r=0.4 g=0.4 b=0.4";"##";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.4 b=0.4";"stones1";"C";"geology";""
"lignite";"litho";"";"r=0.2 g=0.2 b=0.2";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.2 b=0.2";"solid";"C";"geology";""
"loam";"litho";"";"r=0.4 g=0.2 b=0.0";"::";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.2 b=0.0";"dots";"C";"geology";""
"sand";"litho";"";"r=1.0 g=1.0 b=0.8";"::";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=1.0 b=0.8";"sandst-1";"C";"geology";""
"beige";"color_simple";"";"r=0.96 g=0.949 b=0.764";"solid";"periwinkle";"|--->";1;0.50;"/.\";"96 g=0.949 b=0.764";"solid";"C";"geology";""
"beige brown";"color_simple";"";"r=0.709 g=0.678 b=0.403";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.709 g=0.678 b=0.403";"solid";"C";"geology";""
"black";"color_simple";"";"r=0.2 g=0.2 b=0.2";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.2 b=0.2";"solid";"C";"geology";""
"black brown";"color_simple";"";"r=0.2 g=0.0 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.0 b=0.0";"solid";"C";"geology";""
"black gray ";"color_simple";"";"r=0.4 g=0.4 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.4 b=0.4";"solid";"C";"geology";""
"brown";"color_simple";"";"r=0.4 g=0.2 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.2 b=0.0";"solid";"C";"geology";""
"dark brown";"color_simple";"";"r=0.2 g=0.0 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.0 b=0.0";"solid";"C";"geology";""
"dark gray";"color_simple";"";"r=0.4 g=0.4 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.4 b=0.4";"solid";"C";"geology";""
"gray";"color_simple";"";"r=0.6 g=0.6 b=0.6";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.6 g=0.6 b=0.6";"solid";"C";"geology";""
"gray brown";"color_simple";"";"r=0.36 g=0.325 b=0.192";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.36 g=0.325 b=0.192";"solid";"C";"geology";""
"gray green";"color_simple";"";"r=0.4 g=0.4 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.4 b=0.0";"solid";"C";"geology";""
"gray yellow";"color_simple";"";"r=0.513 g=0.513 b=0.325";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.513 g=0.513 b=0.325";"solid";"C";"geology";""
;"quality_code100";"1.000000";"r=0.8 g=0.4 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"code_quality_2008";"1.500000"
;"quality_code100";"3.000000";"r=1.0 g=0.0 b=1.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"code_quality_2008";"3.500000"
;"quality_code100";"4.000000";"r=0.4 g=0.0 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"code_quality_2008";"4.500000"
;"quality_code100";"2.000000";"r=1.0 g=0.6 b=0.2";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"code_quality_2008";"2.500000"
;"afa";"0.000000";"yellow";"solid";"periwinkle";"|--->";1;0.50;"/.\";"yellow";"solid";"N";"granulometry";"50.000000"
;"afa";"50.000000";"r=1.0 g=0.6 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=0.6 b=0.0";"solid";"N";"granulometry";"60.000000"
;"afa";"60.000000";"r=0.8 g=0.0 b=0.8";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=0.0 b=0.8";"solid";"N";"granulometry";"70.000000"
;"afa";"70.000000";"r=0.6 g=0.6 b=1.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.6 g=0.6 b=1.0";"solid";"N";"granulometry";"80.000000"
;"afa";"80.000000";"r=0.4 g=0.0 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.0 b=0.4";"solid";"N";"granulometry";"90.000000"
;"fe_flppm";"60.000000";"r=0.0 g=0.0 b=0.8";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.0 g=0.0 b=0.6";"solid";"N";"float";"100.000000"
;"fe_flppm";"100.000000";"r=0.0 g=0.2 b=1.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.0 g=0.2 b=1.0";"solid";"N";"float";"110.000000"
;"fe_flppm";"110.000000";"r=0.0 g=0.8 b=0.8";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.0 g=0.8 b=0.8";"solid";"N";"float";"120.000000"
;"fe_flppm";"120.000000";"r=0.0 g=0.8 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.0 g=0.8 b=0.4";"solid";"N";"float";"150.000000"
;"fe_flppm";"150.000000";"r=0.2 g=1.0 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=1.0 b=0.2";"solid";"N";"float";"200.000000"
;"fe_flppm";"200.000000";"r=0.8 g=1.0 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=1.0 b=0.0";"solid";"N";"float";"250.000000"
;"fe_flppm";"250.000000";"yellow";"solid";"periwinkle";"|--->";1;0.50;"/.\";"yellow";"solid";"N";"float";"300.000000"
"green";"color_simple";"";"r=0.2 g=0.6 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.6 b=0.0";"solid";"C";"geology";""
"light brown";"color_simple";"";"r=0.933 g=0.831 b=0.517";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.933 g=0.831 b=0.517";"solid";"C";"geology";""
"light gray";"color_simple";"";"r=0.8 g=0.8 b=0.8";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=0.8 b=0.8";"solid";"C";"geology";""
"light yellow";"color_simple";"";"r=1.0 g=1.0 b=0.6";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=1.0 b=0.6";"solid";"C";"geology";""
"red";"color_simple";"";"red";"solid";"periwinkle";"|--->";1;0.50;"/.\";"red";"solid";"C";"geology";""
"red brown";"color_simple";"";"r=0.8 g=0.2 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=0.2 b=0.0";"solid";"C";"geology";""
"white";"color_simple";"";"r=1.0 g=1.0 b=0.8";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=1.0 b=0.8";"solid";"C";"geology";""
"white beige";"color_simple";"";"r=0.901 g=0.886 b=0.725";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.901 g=0.886 b=0.725";"solid";"C";"geology";""
"white brown";"color_simple";"";"r=0.945 g=0.831 b=0.58";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.945 g=0.831 b=0.58";"solid";"C";"geology";""
"white gray";"color_simple";"";"r=0.8 g=0.8 b=0.8";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=0.8 b=0.8";"solid";"C";"geology";""
"yellow";"color_simple";"";"yellow";"solid";"periwinkle";"|--->";1;0.50;"/.\";"yellow";"solid";"C";"geology";""
"yellow brown";"color_simple";"";"r=0.901 g=0.709 b=0.086";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.901 g=0.709 b=0.086";"solid";"C";"geology";""
"2";"code";"";"r=1.0 g=0.0 b=0.2";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=0.0 b=0.2";"solid";"C";"composite1";""
"3";"code";"";"yellow";"solid";"periwinkle";"|--->";1;0.50;"/.\";"yellow";"solid";"C";"composite1";""
"4";"code";"";"r=0.0 g=0.8 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.8 b=0.0";"solid";"C";"composite1";""
"2";"code_geol";"";"r=0.6 g=1.0 b=1.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.6 g=1.0 b=1.0";"solid";"C";"float";""
;"fe_flppm";"300.000000";"r=1.0 g=0.2 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=0.2 b=0.0";"solid";"N";"float";"500.000000"
;"fe_flppm";"500.000000";"r=0.8 g=0.0 b=0.6";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=0.0 b=0.6";"solid";"N";"float";"1000.000000"
;"fe_scppm";"0.000000";"green";"solid";"periwinkle";"|--->";1;0.50;"/.\";"green";"solid";"N";"scrubbed";"200.000000"
;"fe_scppm";"200.000000";"orange";"solid";"periwinkle";"|--->";1;0.50;"/.\";"orange";"solid";"N";"scrubbed";"2000.000000"
;"fe_flppm";"0.000000";"r=0.2 g=0.8 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"float_regul";"100.000000"
;"fe_flppm";"100.000000";"r=1.0 g=1.0 b=0.2";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"float_regul";"200.000000"
;"fe_flppm";"200.000000";"r=1.0 g=0.6 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"float_regul";"300.000000"
;"fe_flppm";"300.000000";"r=0.8 g=0.0 b=0.8";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"float_regul";"999999.000000"
"3";"code_geol";"";"yellow";"solid";"periwinkle";"|--->";1;0.50;"/.\";"yellow";"solid";"C";"float";""
"4";"code_geol";"";"r=0.0 g=0.8 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=0.8 b=0.0";"solid";"C";"float";""
"2";"code_geol";"";"r=1.0 g=1.0 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"C";"granulo";""
"3";"code_geol";"";"r=0.6 g=1.0 b=0.2";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"C";"granulo";""
"4";"code_geol";"";"r=1.0 g=0.6 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"C";"granulo";""
;"fe_flppm";"60.000000";"green";"solid";"periwinkle";"|--->";1;0.50;"/.\";"green";"solid";"N";"Discrete_samples";"80.000000"
;"fe_flppm";"80.000000";"r=0.8 g=1.0 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=1.0 b=0.0";"solid";"N";"Discrete_samples";"100.000000"
;"fe_flppm";"100.000000";"r=1.0 g=0.8 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=0.8 b=0.0";"solid";"N";"Discrete_samples";"110.000000"
;"fe_flppm";"110.000000";"tangerine";"solid";"periwinkle";"|--->";1;0.50;"/.\";"tangerine";"solid";"N";"Discrete_samples";"120.000000"
;"fe_flppm";"120.000000";"r=1.0 g=0.4 b=0.4";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=0.4 b=0.4";"solid";"N";"Discrete_samples";"140.000000"
;"fe_flppm";"140.000000";"r=0.8 g=0.4 b=1.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.8 g=0.4 b=1.0";"solid";"N";"Discrete_samples";"200.000000"
;"fe_flppm";"200.000000";"r=0.6 g=0.4 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.6 g=0.4 b=0.0";"solid";"N";"Discrete_samples";"999.000000"
;"fe_flppm";"1000.000000";"r=0.4 g=0.0 b=0.8";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.0 b=0.8";"solid";"N";"float";"3500.000000"
;"OD";"0.000000";"periwinkle";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"float";"60.000000"
;"OD";"60.000000";"r=1.0 g=0.6 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=1.0 g=0.6 b=0.0";"solid";"N";"float";"85.000000"
;"OD";"85.000000";"yellow";"solid";"periwinkle";"|--->";1;0.50;"/.\";"yellow";"solid";"N";"float";"90.000000"
;"OD";"90.000000";"r=0.4 g=0.8 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.4 g=0.8 b=0.0";"solid";"N";"float";"99.000000"
;"z_250";"0.000000";"periwinkle";"solid";"periwinkle";"|--->";1;0.50;"/.\";"periwinkle";"solid";"N";"granulo";"10.000000"
;"z_250";"10.000000";"r=0.2 g=1.0 b=0.0";"solid";"periwinkle";"|--->";1;0.50;"/.\";"r=0.2 g=1.0 b=0.0";"solid";"N";"granulo";"20.000000"
